COP,Temp,Temp^2,Demand,Demand^2,Cooling Load
5.31993058,9.27692296,86.0612996,94.87336307,9000.95502,504.7197054
4.580010878,9.493333435,90.12337971,96.86933899,9383.668836,443.6626263
4.80404328,9.806249976,96.16253859,102.0519958,10414.60984,490.2622045
4.88713414,9.658823686,93.29287501,99.69510911,9939.11478,487.2233713
4.923182035,9.233333397,85.25444562,102.5955873,10525.85454,505.0967523
4.812671698,8.692857061,75.56576388,101.1474134,10230.79924,486.7892938
4.972035922,9.069230667,82.25094488,106.2530234,11289.70498,528.2938491
4.955186076,9.885714122,97.72734371,109.0260025,11886.66921,540.2441293
4.83479698,11.37142869,129.3093905,157.134223,24691.16403,759.7120667
4.979877737,13.02941188,169.7655739,152.2657937,23184.87193,758.2650361
4.453182834,14.58823524,212.8166074,185.8992467,34558.52991,827.843334
4.240150009,16.44375008,270.3969168,197.470762,38994.70184,837.3056532
4.152970566,17.82142844,317.6033115,177.6101388,31545.36142,737.6096789
4.071903162,18.86874986,356.0297212,184.2303562,33940.82415,750.16817
4.168819281,19.52666677,381.2907151,148.8598699,22159.26087,620.569896
3.931640603,19.68749988,387.5976516,180.3252399,32517.19214,708.9740349
4.002599948,19.49999986,380.2499947,151.3822032,22916.57146,605.9223988
3.991200022,18.92857129,358.2908112,198.1825185,39276.31063,790.9860722
4.283180032,17.61333351,310.2295174,161.2180176,25991.24919,690.5257938
4.656744933,16.07333323,258.3520412,130.1518766,16939.51099,606.0840921
4.863675038,14.81333332,219.4348441,113.2571695,12827.18645,550.8460682
5.116215819,13.14285728,172.7346975,104.5993002,10941.0136,535.1525942
5.094828882,11.45333335,131.1788447,99.51407081,9903.05029,507.0071621
5.356419958,11.22857148,126.0808176,94.7745551,8982.216294,507.6523185
5.124068295,10.02500004,100.5006257,94.95190262,9015.863812,486.5400338
4.927361513,9.252941244,85.61692166,97.79906111,9564.656355,481.8913297
4.848027933,8.476470555,71.85055306,100.3144877,10062.99645,486.3274386
4.936010059,7.821428674,61.1747465,98.05037994,9613.877007,483.9776617
4.922464257,7.1,50.41,98.88594691,9778.430496,486.7625392
4.884846223,6.421428544,41.23474455,98.2693949,9656.873974,480.0308825
4.725179513,6.520000076,42.51040099,95.46394133,9113.364094,451.0842598
4.871942847,8.678571429,75.31760204,107.6821884,11595.4537,524.6214676
4.64739358,12.16249996,147.9264054,161.9865304,26239.63604,752.8151616
4.358805437,16.61333364,276.0028546,184.1733596,33919.8264,802.7758414
4.003177435,19.40666682,376.618717,198.3735524,39352.06629,794.1245286
3.696690626,21.07999992,444.3663968,191.690537,36745.26197,708.6206112
3.597844089,21.46874964,460.9072112,200.1001295,40040.06183,719.9290682
3.644533316,22.73333311,516.8044343,197.6759445,39075.77904,720.4365656
3.63603141,23.30000005,542.8900025,200.0896729,40035.87718,727.5323352
3.606499997,23.40000013,547.560006,212.5955085,45196.85022,766.7257006
3.770449988,22.86428561,522.7755562,197.0004695,38809.18497,742.7804177
3.738591419,22.22941152,494.1467364,212.0882163,44981.41149,792.9111855
3.935919431,20.715385,429.1271756,199.8289664,39931.61579,786.5107114
4.463343285,19.17692316,367.7543821,148.1951108,21961.79088,661.4456529
4.945139013,16.38888889,268.595679,124.8934343,15598.36993,617.6153943
5.23869731,15.04666678,226.4021812,110.4748345,12204.68907,578.7442185
5.395420576,13.52500015,182.9256292,105.8568395,11205.67047,571.1421699
5.500721622,12.72307682,161.8766838,103.2296675,10656.36424,567.8376638
5.460082202,11.75555552,138.1930857,98.13240594,9629.969095,535.8110031
5.677618441,11.09230775,123.0392912,95.86894226,9190.85409,544.3072745
5.573018501,10.24000009,104.8576018,95.0495736,9034.421441,529.7130321
5.42993753,9.381250083,88.00785313,95.47824039,9116.094389,518.4408808
5.551913174,8.960000038,80.28160068,94.70265318,8968.59252,525.7809078
5.674259444,8.707142898,75.81433745,93.41829723,8726.978257,530.0796552
5.324766662,8.769230916,76.89941086,94.58255174,8945.859094,503.6300184
4.835694814,11.1333334,123.9511125,117.421052,13787.70345,567.8123723
4.482577174,14.88749981,221.6376506,176.7848838,31252.89513,792.4518847
4.080013845,18.51250017,342.7126624,204.7804726,41935.04198,835.5071635
3.732431263,21.64615396,468.5559814,173.2568192,30017.92542,646.6691686
3.673477762,22.92777761,525.6829861,199.2540546,39702.17827,731.9553386
3.41450278,24.42941138,596.7961405,220.4111392,48581.07027,752.5944474
3.482630289,25.48666662,649.5701752,223.8718151,50118.58958,779.662764
3.365306462,26.2733331,690.2880324,223.0271262,49741.09902,750.554629
3.351775005,26.37692334,695.7420849,222.0492229,49305.85741,744.2590355
3.38909654,26.2166667,687.3136128,214.3491806,45945.5712,726.4500661
3.597415641,25.31333338,640.764847,186.6737738,34847.09781,671.5431535
3.896670258,23.01249981,529.5751475,199.3550576,39742.43899,776.8209236
4.011362211,20.39999986,416.1599942,183.3353981,33611.86819,735.4246878
4.534282987,18.86249995,355.7939045,146.0661818,21335.32948,662.3054032
4.818463453,17.03571429,290.2155612,129.0371691,16650.59101,621.7608835
4.994663163,15.67692294,245.765913,115.8004263,13409.73873,578.3841234
5.047888849,14.8083334,219.286738,107.5995386,11577.66071,543.150511
5.193380414,13.49333337,182.0700455,103.8312196,10780.92215,539.235022
5.364692346,12.80625004,164.00004,100.6377078,10127.94824,539.8903409
5.039410849,12.44999995,155.0024986,97.00221644,9409.429995,488.8340219
4.757984638,12.06666673,145.604446,105.6196481,11155.51006,502.536663
4.76151253,12.79333344,163.6693804,112.7215359,12706.14465,536.7250054
4.707126254,12.96923087,168.2009494,115.5698877,13356.39893,544.0020523
4.630950017,13.22352948,174.8617319,124.8240024,15581.03156,578.0537159
4.69467144,16.60769243,275.8154477,147.3414991,21709.51736,691.7199278
3.987483316,19.0285714,362.0865296,199.1641074,39666.34169,794.1635555
3.635975003,21.26666679,452.2711165,201.013752,40406.52849,730.8809775
3.483235317,23.31764681,543.7126528,190.0123336,36104.68692,661.857671
3.601176458,24.40555583,595.6311554,159.4243038,25416.10865,574.1150499
3.564085729,25.26428563,638.2841285,166.2654519,27644.2005,592.5843244
3.416828581,26.00833352,676.4334127,176.4070876,31119.46055,602.7527788
3.58594839,25.46666679,648.5511176,177.8356053,31625.5025,637.7093024
3.749806473,24.22941163,587.0643879,165.1666383,27280.0184,619.3429294
3.62343614,23.54117652,554.1869917,194.8193995,37954.59843,705.9156529
3.747139947,22.84285682,521.7961075,192.3047318,36981.10985,720.5927423
3.691092637,22.20625007,493.1175422,215.7828994,46562.25969,796.4746712
3.712480572,21.20000008,449.4400035,210.4026142,44269.26005,781.1156173
3.993318899,18.81999982,354.1923933,186.3759147,34735.98158,744.2584625
4.493605262,15.95625007,254.6019163,143.2680913,20525.74599,643.790249
4.661867511,14.87647051,221.3093748,131.7993099,17371.0581,614.4309209
4.705959014,14.57142857,212.3265306,128.8478292,16601.76309,606.3526032
4.903497662,14.01666662,196.4669433,121.7125266,14813.93913,596.8170896
4.981342115,13.62500016,185.6406293,118.1568579,13961.04308,588.5797326
5.053218945,13.45999997,181.1715993,118.0836456,13943.74736,596.7025149
5.110190034,13.5,182.25,116.6829472,13614.91016,596.2720337
5.068539519,13.46428558,181.2869861,115.9645237,13447.77076,587.7707713
5.136687825,13.16666673,173.3611128,113.7622171,12941.84203,584.3609955
5.241594572,12.93333314,167.2711062,109.9951836,12098.94041,576.5501573
5.208652496,12.85555559,165.2653095,111.5251637,12437.86213,580.8958221
5.200051359,12.85624999,165.2831638,114.5347865,13118.21733,595.5867724
5.134938127,13.21250004,174.5701572,116.0403195,13465.35576,595.859861
4.833975689,15.14615367,229.405971,131.9006397,17397.77876,637.6044857
4.635579464,15.99999994,255.9999981,142.9119627,20423.82907,662.4797592
4.565278894,16.2562499,264.265661,145.9150314,21291.1964,666.1428133
4.41940246,16.79374981,282.0300327,153.974516,23708.15157,680.4753546
4.270305049,17.7125001,313.7326596,164.8862576,27187.47793,704.1146182
4.221640015,17.86153823,319.0345478,167.4347404,28034.39231,706.8492001
4.35356245,17.64999983,311.522494,157.9511192,24948.55607,687.6500617
4.516026427,16.63076929,276.5824872,145.4836435,21165.49052,657.0079786
4.862268611,15.30769245,234.3254483,123.2259099,15184.62486,599.1574736
5.038656118,14.7357143,217.1412759,119.0966735,14184.01765,600.0871829
5.092427504,14.29333324,204.2993752,114.4446671,13097.58182,582.8011702
5.146505356,13.62500012,185.6406282,111.7003188,12476.96123,574.8662891
5.211899933,13.46428558,181.2869861,109.9902496,12097.85501,573.2581747
5.188620043,13.43846138,180.5922442,109.50861,11992.13566,568.1985685
5.241074366,13.28666662,176.5355098,107.4726539,11550.37134,563.2721715
5.290461589,12.97500014,168.3506287,105.9403078,11223.34882,560.4731292
5.367089987,12.89166665,166.195069,103.1903353,10648.24529,553.8318152
5.377990416,12.74705892,162.4875112,101.5104523,10304.37192,545.9222394
5.415247175,12.48666662,155.9168432,100.3650742,10073.14811,543.5016843
5.41838101,12.63750017,159.7064105,99.94313104,9988.629442,541.5299633
5.384169433,12.48823519,155.9560182,101.9523945,10394.29074,548.928966
5.290670279,13.01538453,169.4002344,107.0052649,11450.12672,566.1295747
4.965352598,15.52142859,240.9147453,121.4597662,14752.4748,603.0905656
4.560034194,17.63125014,310.8609816,143.2534061,20521.53835,653.24043
3.870551341,20.82857132,433.8293832,191.4215599,36642.2136,740.9069755
3.605626357,22.66428566,513.6698445,200.9971972,40399.87328,724.720792
3.374699957,23.50769204,552.6115852,213.2837722,45489.96748,719.7687369
3.380275003,26.0714283,679.7193735,189.4642154,35896.68892,640.4411512
3.143166664,27.68749988,766.5976496,211.8083398,44862.77282,665.748913
3.077935016,29.2785714,857.2347433,212.9193756,45334.66051,655.3520018
3.105447501,29.49285698,869.8286128,192.7606335,37156.66182,598.6080275
3.20523332,28.72000008,824.8384044,197.2130895,38893.00267,632.1139655
3.275189736,26.86874986,721.9297189,188.364241,35481.08728,616.9286287
3.438538454,25.95333303,673.5754953,197.2898959,38923.30301,678.3888934
3.366486106,25.0428569,627.1446816,209.5980915,43931.35998,705.609063
3.420179508,23.83749998,568.2264051,203.6235641,41462.55586,696.4291412
3.594152626,22.79285703,519.5143318,201.6942351,40680.56449,724.919865
3.677735726,21.99999989,483.9999951,210.5994502,44352.12844,774.5291221
3.674602473,21.18000005,448.5924022,205.1073761,42069.03573,753.6880714
3.840168612,19.72000008,388.878403,180.7548867,32672.32908,694.1292426
4.741065828,17.22307719,296.6343878,136.131102,18531.67694,645.4065159
5.136680966,15.39411775,236.9788612,121.5130788,14765.42831,624.1739189
4.595719993,14.8266667,219.8300456,119.9141577,14379.40521,551.0918919
4.879379456,14.13571453,199.8184253,134.4784781,18084.46106,656.1715231
4.797387196,14.1399999,199.9395971,130.9606239,17150.68502,628.2688204
4.117031384,16.72857141,279.8451016,197.8190098,39132.36065,814.4270717
3.901472467,18.45625019,340.6331711,193.5836269,37474.62062,755.2611906
3.864329966,18.83846166,354.8876376,198.8226654,39530.45228,768.3163838
3.765257626,19.44666672,378.1728464,194.4292163,37802.72016,732.0760895
3.623538756,20.39999987,416.1599948,193.542353,37458.6424,701.3082169
3.625197018,20.67500007,427.455628,184.3838353,33997.39872,668.4277298
3.67276565,21.41999969,458.8163869,209.722086,43983.35334,770.2600733
3.672767674,21.64117645,468.3405181,212.3274523,45082.94699,779.829403
3.671423316,21.52666639,463.3973657,212.3517324,45093.25825,779.6331015
3.844912059,21.03124964,442.3134615,191.6154346,36716.47477,736.7444952
3.712770288,20.1785717,407.1747559,205.753677,42334.57558,763.9161385
3.816587179,19.06666667,363.5377778,187.5153769,35162.01659,715.6687835
4.27093246,18.35882366,337.0464063,156.5443504,24506.13365,668.5903477
4.641990435,17.29999992,299.2899972,133.9005777,17929.36472,621.565201
4.348028558,15.4600001,239.0116031,127.6534209,16295.39588,555.0407198
4.4713131,13.78666662,190.0721764,128.131289,16417.62723,572.9151112
4.719280534,12.87142856,165.6736731,114.7884053,13176.37798,541.7186864
4.826571819,12.51999989,156.7503971,111.4816337,12428.15465,538.0741116
4.944834995,11.0571428,122.260407,107.845178,11630.58242,533.2766104
4.882559527,10.7733333,116.0647103,110.8960973,12297.94439,541.4567962
4.952284605,10.51333326,110.5301762,110.9658743,12313.42526,549.534591
4.785620944,11.08235297,122.8185475,115.7020757,13386.97032,553.7062767
4.858423672,10.80666669,116.784045,119.376881,14250.83973,579.9834648
4.883694597,10.84375006,117.5869154,120.8496708,14604.64294,590.1928845
4.719013164,12.33333325,152.1111092,172.3043024,29688.77263,813.1062713
4.456329444,14.3214285,205.1033144,181.4268911,32915.71682,808.4979967
4.379816133,14.26428563,203.4698446,191.8046891,36789.03878,840.0692719
4.290262446,15.15333328,229.6235096,196.1039567,38456.76183,841.3374409
4.48559725,13.78947368,190.1495845,192.7698072,37160.19855,864.6877168
4.756978926,14.35333328,206.0181763,187.5646194,35180.48644,892.2409416
5.164024327,12.75333328,162.6475098,163.2931176,26664.64226,843.2496319
5.27919753,11.13333327,123.9511097,155.5379092,24192.04119,821.1153459
5.287356789,10.47857162,109.8004632,148.3528529,22008.56896,784.3944639
5.238119544,8.733333397,76.27111222,121.3365927,14722.56873,635.5755776
5.762082821,8.192857061,67.12290682,99.02655122,9806.257847,570.5991896
5.666113138,8.080000146,65.28640236,96.614152,9334.294368,547.426716
5.462554955,8.385714258,70.32020362,94.52393436,8934.774168,516.3421861
5.181613194,8.806666565,77.55737599,96.35613652,9284.505046,499.2802284
4.701568447,8.40624994,70.66503806,106.8036001,11407.009,502.1444363
4.44500526,8.313333193,69.11150879,97.14260563,9436.685829,431.799393
4.696642447,7.970588347,63.53027861,96.32986488,9279.442868,452.4269323
4.884738458,7.657142844,58.63183653,98.63745391,9729.347314,481.8181645
4.764719473,7.06250003,49.87890667,96.21323352,9256.986305,458.4290673
4.819127464,6.786666711,46.05884505,95.10562744,9045.080371,458.3261412
4.803776693,6.359999975,40.44959968,96.42478256,9297.738692,463.2031231
4.737450066,5.485714367,30.09306212,96.38516944,9290.100888,456.6199273
4.331292324,4.881249964,23.82660121,91.78244547,8424.017296,397.5366015
4.839571483,6.275000016,39.3756252,93.83801836,8805.57369,454.1357977
5.839939431,7.359999975,54.16959963,119.6406035,14313.87401,698.693878
5.965235918,8.699999956,75.68999923,115.6269437,13369.59012,689.7419979
5.909451206,10.42777793,108.7385525,125.6455787,15786.81145,742.4964166
5.856042876,12.13571426,147.2755606,138.7902658,19262.73787,812.761747
5.623478902,13.3071428,177.0800496,144.3924436,20849.17777,811.9878602
5.550677453,14.57142857,212.3265306,152.3705124,23216.77306,845.7595679
5.399432244,15.26875001,233.1347269,166.8546965,27840.48973,900.9206281
5.408634211,15.7941177,249.454154,166.1038284,27590.48182,898.394849
5.271885339,16.20666676,262.6560473,167.8265233,28165.74191,884.7621875
5.584672726,15.42500013,237.930629,126.8848789,16099.7725,708.6105225
5.554444393,14.86428574,220.9469906,115.3254494,13299.95928,640.5687958
5.449430288,14.01176453,196.3295451,106.9804051,11444.80707,582.9822595
5.459309947,12.86666669,165.5511117,101.2755077,10256.72847,552.8943868
4.785144462,11.80833348,139.4367395,100.6807365,10136.61071,481.7718688
4.419797508,10.14285714,102.877551,109.87727,12073.01447,485.6352842
4.375643215,9.03333327,81.60110996,102.4090432,10487.61213,448.1054349
4.463324952,8.150000006,66.4225001,101.63715,10330.11026,453.6396277
4.662609959,7.792857272,60.72862447,100.0802073,10016.04788,466.634971
4.444366659,7.207692366,51.95082925,100.2985985,10059.80886,445.7637472
4.65210856,6.649999993,44.22249991,98.09131143,9621.905378,456.3314296
4.520584965,5.573333422,31.06204544,98.13662472,9630.797111,443.6349502
4.668050038,5.192857095,26.96576481,96.01339461,9218.571944,448.1953304
