Location,Building Number,Gas Meter Asset #,Boiler Asset #,Boiler Type,Boiler Service Level,Date Serviced,Boiler Condition Rating,Boiler Manufacture Year,Boiler Age,Boiler Life Expectancy,Boiler Heating Capacity (kW),Gas Energy Comsumption Gas Per Annum- Measured 2019(GJ),Gas CO2 Emissions Per Annum- Measured (kg),Chiller Full Load COP Est.,Cooling Capacity,Current Chiller Input Electrical Peak Future (kW),Boiler Input Electrical Peak current (kW),Heat Pump Input Electrical Peak Future (kW),HHW feed temperature requirements,Net Electrical Load Change considering diversity between Chiller & heat Pump Usage,Proposed Thermal Hub,,Hub maths,Approximate Building Timeschedule,Can timeschedule be modified to save energy?,can load shedding or other load manipulation be utilised for buildings central heating and cooling systems?,Can space temperature setpoints be adjusted remotely in realtime,Does the building have afterhours push buttons
Field Services,45A,446803,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,C,,0,,,,,
Chifley library,45A,446803,,Connected to Kambri,,,,,,,,220,11306.46,,,,,,,200,No,200,200,,,,,
Forestry ,48,446804,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,C,,0,,,,,
Wamburun Hall,150,490437,-,Condensing Boiler,NA,NA,NA,2017 Renemax,3,NA,480,6789,348907.077,0,0,0,2,200,70,166.6666667,No,166.6666667,166.6666667,,,,,
Science Teaching building,136,490442,-,No Boiler,-,-,-,-,-,-,-,475,24411.675,0,0,0,NA,NA,NA,166.6666667,,166.6666667,0,,,,,
Ursula College Main,50,446819,-,Atmospheric Boiler,NA,NA,NA,2008 Hunt,12,NA,400,4181,214874.133,0,0,0,2,166.6666667,80,250,No,125,250,,,,,
Ursula College Main,50,446819,-,Atmospheric Boiler,NA,NA,NA,2008 Hunt,12,NA,400,,,0,0,0,2,166.6666667,,,No,125,250,,,,,
Ursula College Kitchen,50,446818,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,-,-,,125,,125,0,,,,,
John XXIII College,51,446820,-,Boiler,NA,NA,NA,?,?,?,300,3495,179618.535,0,0,0,2,125,80,183.3333333,No,183.3333333,183.3333333,,,,,
John XXIII College,51,446820,-,Boiler,NA,NA,NA,?,?,?,300,,,,,,2,125,,,No,,0,,,,,
Burgmann College,52,446821,,Atmospheric Boiler,,,,,,,440,4876,250592.268,0,0,0,2,183.3333333,80,,No,,0,,,,,
Scholas House,3L,446825,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,B,,0,,,,,
Toad Hall,30,490450,-,No Boiler,?,?,?,?,?,?,,1117,57405.981,0,0,0,,,,62.5,No,62.5,62.5,,,,,
Nuclear Physics,57,446838,-,No Boiler,-,-,-,-,-,-,-,255,13105.215,0,0,0,,,,,No,,0,,,,,
Graduate House,118,446840,,Atmospheric Boiler,,,,2002 Hunt,,,150,1695,87111.135,0,0,0,2,62.5,80,,,,,,,,,
Vice Chancellors,80,446849,-,No boiler,-,-,-,-,-,-,-,183,9404.919,0,0,0,-,,,,,,,,,,,
Gardeners Depot,64a,446853,-,No boiler,-,-,-,-,-,-,-,128,6578.304,0,0,0,-,,,,,,,,,,,
National Europe Centre,67B,446917,-,No boiler,-,-,-,-,-,-,-,58,2980.794,0,0,0,-,,,,,,,,,,,
"School of Art - Foundry, Ellery Crescent",105,446921,-,No boiler,-,-,-,-,-,-,-,1289,66245.577,0,0,0,-,,,,,,,,,,,
Old Canberra House sub-meter,73,553723,-,No boiler,-,-,-,-,-,-,-,0,0,0,0,0,-,,,,,,,,,,,
Laurus wing,50T1,451470,-,No Boiler,-,-,-,-,-,-,-,1863,95745.159,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Chancelry CEDAM,10T1,451471,-,No Boiler,-,-,-,-,-,-,-,33,1695.969,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Liversidge court,78,451472,-,No Boiler,-,-,-,-,-,-,-,565,29037.045,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Liversidge court,78,451473,-,No Boiler,-,-,-,-,-,-,-,,,,,,NA,NA,NA,,,,,NA,NA,NA,NA,NA
RSB- Eucalyptus Glass house ,46Q,490445,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
RSB- Darwinia Glass house ,46R,490446,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
RSB- Correa Glass house,46S,490447,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Chemistry Building,138,490439,-,No Boiler,-,-,-,-,-,-,-,1,51.393,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"School of Art, Café sub-meter",105 Café,490451,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Acton Early Child Care, 22 Balmain",72,446854,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Centre for Continuing Education,66,446855,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Family Child Care , 16 Balmain",67,446856,-,No Boiler,-,-,-,-,-,-,-,0,0,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Judith Wright Court 1,126,446857,-,No Boiler,-,-,-,-,-,-,-,16.314,838.425402,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Judith Wright Court 2,126,446858,-,No Boiler,-,-,-,-,-,-,-,20.883,1073.240019,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Judith Wright Court 3,126,446859,-,No Boiler,-,-,-,-,-,-,-,84.712,4353.603816,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Judith Wright Court 4,126,446860,-,No Boiler,-,-,-,-,-,-,-,28.949,1487.775957,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Judith Wright Court 5,126,446861,-,No Boiler,-,-,-,-,-,-,-,61.922,3182.357346,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Brian Lewis Crescent,29/77,446862,-,No Boiler,-,-,-,-,-,-,-,46.324,2380.729332,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Brian Lewis Crescent,16/77,446863,-,No Boiler,-,-,-,-,-,-,-,18.479,949.691247,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Brian Lewis Crescent,27/77,446864,-,No Boiler,-,-,-,-,-,-,-,13.961,717.497673,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Brian Lewis Crescent,25/77,446865,-,No Boiler,-,-,-,-,-,-,-,13.961,717.497673,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Brian Lewis Crescent,23/77,446866,-,No Boiler,-,-,-,-,-,-,-,13.961,717.497673,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Liversidge 14,81,446867,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
Liversidge 8,8/128,446868,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 31",78 C block,446869,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 33",78 C block,446870,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 30",78 C block,446871,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 32",78 C block,446872,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 27",78 C block,446873,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 29",78 C block,446874,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 26",78 C block,446875,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 28",78 C block,446876,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 23",78 C block,446877,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 25",78 C block,446878,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 22",78 C block,446879,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 24",78 C block,446880,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 19",78 B block,446881,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 21",78 B block,446882,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 18",78 B block,446883,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 20",78 B block,446884,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, Unit 15",78 B block,446885,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 17",78 B block,446886,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 14",78 B block,446887,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 16",78 B block,446888,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 11",78 B block,446889,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 13",78 B block,446890,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 10",78 B block,446891,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 12",78 B block,446892,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 1",78 A block,446893,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 2",78 A block,446894,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 3",78 A block,446895,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 4",78 A block,446896,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 5",78 A block,446897,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 6",78 A block,446898,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 7",78 A block,446899,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 8",78 A block,446900,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 9",78 A block,446901,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, A block HWS",78 A block,446902,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 34",78 D block,446903,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 35",78 D block,446904,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 36",78 D block,446905,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 37",78 D block,446906,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 38",78 D block,446907,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 39",78 E block,446908,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 40",78 E block,446909,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 41",78 E block,446910,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 42",78 F block,446911,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 44",78 F block,446912,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 43",78 F block,446913,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
"Liversidge Court, unit 45",78 F block,446914,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
26 Balmain,1b,446915,-,No Boiler,-,-,-,-,-,-,-,,,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
28 Balmain Transportable,71T, ,-,No Boiler,-,-,-,-,-,-,-, , ,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
14 Balmain Lane ,67C, ,-,No Boiler,-,-,-,-,-,-,-, , ,0,0,0,NA,NA,NA,,,,,NA,NA,NA,NA,NA
14 Balmain Lane ,67C, ,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Balmain Lane ,67C, ,,,,,,,,,,,,,,,,,,61,,13034.5231,4144.423077,,,,,
14 Balmain Lane ,67C, ,,,,,,,,,,,,,,,,,,,,,16,,,,,
14 Balmain Lane ,67C, ,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Balmain Lane ,67C, ,,,,,,,,,,,,,,,,,0.136690647,,,,,,,,,
14 Balmain Lane ,67C, ,,,,,,,,,,,,,,,,,,,,,,,,,,
