Index,COP,Temp,Demand,Load
0,3.598553332,12.03846161,93.02246043,334.7462849
1,3.858727546,11.97692299,94.91996607,366.2702877
2,3.635812153,11.91249996,92.91002331,337.8033919
3,3.498337485,12.48461547,89.79892659,314.146951
4,3.560618728,12.03846147,89.86890626,319.9889107
5,3.550674968,11.38749993,90.49882295,321.3319053
6,3.747082114,11.3499999,91.58304351,343.1691843
7,3.819825923,12.38666687,93.52273729,357.2405763
8,4.101289683,13.39230772,119.9095383,491.7837522
9,4.074673343,14.26153843,117.6278066,479.2948879
10,3.982720671,14.57692315,118.0202971,470.0418768
11,4.162744802,15.25999991,122.5143214,509.9958546
12,4.014182773,16.17500019,123.6756939,496.4568399
13,4.057558635,16.10624987,127.282728,516.4571321
14,3.869007153,16.06428555,152.671808,590.6883171
15,3.66001375,15.81538457,145.6059302,532.9197066
16,3.723623323,15.81538464,144.4342316,537.8186734
17,3.609229618,14.70833325,118.8012175,428.780873
18,3.831210758,12.99999993,97.23461206,372.5262918
19,3.65816548,11.97692306,91.7452995,335.6194876
20,3.651524157,11.27999992,88.2213703,322.1424649
21,3.815964307,10.82307706,89.26437024,340.6296507
22,3.887277442,9.658333302,91.76806099,356.7279134
23,3.492144823,8.839999835,88.80714127,310.1273986
24,3.448899961,8.3615383,90.0355803,310.5237094
25,3.451048276,7.913333321,88.32212224,304.8039077
26,3.658690008,6.63846159,89.55277074,327.6458275
27,3.461200014,6.626666705,89.69494414,310.4521419
28,3.670748341,6.099999989,89.36014212,328.0185935
29,3.572071895,5.619999949,89.9697597,321.37845
30,3.65673999,5.338461509,90.66291072,331.5306912
31,3.942396341,7.268750042,93.3545504,368.0406379
32,4.463876748,9.842857293,111.59997,498.1685111
33,4.119759979,13.27499986,116.2428122,478.8924856
34,4.046642414,15.89999987,124.0725203,502.0771231
35,3.856513302,17.5,137.3937108,529.8606734
36,3.573503562,18.81538479,165.5659681,591.6505768
37,3.440824114,20.02500041,191.7588596,659.8085081
38,3.252473015,21.49230737,216.2483474,703.3419143
39,3.175292833,21.10769228,210.3700796,667.9866059
40,3.341629602,20.29999953,188.2562391,629.0826216
41,3.539931026,18.99285698,132.3327516,468.448813
42,3.718434515,17.17500003,100.0270854,371.9441668
43,3.76435168,16.05714294,94.84179556,357.0178725
44,3.741149998,15.20000001,94.28201853,352.7231734
45,3.784048278,14.65833354,94.18419674,356.3975474
46,3.601554832,12.71333332,92.13857811,331.8421412
47,3.6530065,11.89285728,90.58781679,330.9178835
48,3.610142853,10.57857125,88.10669463,318.0777539
49,3.680937078,9.840000089,90.12239555,331.7348674
50,3.721349986,9.153333092,88.84574305,330.6261047
51,3.683914278,8.938461597,90.63834926,333.903909
52,3.560451558,8.35333341,88.79146715,316.1377176
53,3.563219347,7.377777815,88.44160954,315.1368542
54,3.630283879,7.664285694,90.21855484,327.5189652
55,3.82494195,9.875000238,90.19332984,344.984251
56,3.688726695,12.42142861,94.0258728,346.8357471
57,3.576324992,16.98571464,95.79892588,342.6080928
58,3.608765487,20.46666679,103.0361862,371.8334327
59,3.373028568,22.17692316,144.3080488,486.7551712
60,3.212122571,22.59230775,165.0430135,530.138389
61,3.165180039,23.35384589,174.2014984,551.3791056
62,3.296157709,23.42857143,178.586542,588.649407
63,3.304092867,23.43846145,176.0201253,581.5868403
64,3.306760025,22.98333311,168.0020081,555.5423244
65,3.373489992,22.00625002,159.9519155,539.5961861
66,3.175143329,20.37692334,136.7476267,434.1933149
67,3.711696551,19.02142879,98.78139996,366.6465815
68,3.665999994,16.86666641,93.55402255,342.9690461
69,3.80553333,14.94666684,94.90952352,361.1813551
70,3.599507145,13.87142842,93.17931775,335.39962
71,3.836113774,12.95624995,93.89081915,360.1758646
72,3.780637465,11.83999996,92.37074542,349.2203008
73,3.84879334,11.28333338,90.83980738,349.6236456
74,3.809087898,10.64000003,91.28593399,347.7161464
75,3.665399973,10.49374998,90.41756439,331.416538
76,3.769327591,9.950000014,88.77136073,334.6083393
77,3.683238737,9.42857136,88.79297539,327.0457266
78,3.817063268,10.09999994,90.90732778,346.9990217
79,3.822258034,12.18666655,93.94002878,359.0630297
80,3.659912519,15.81333338,95.96410179,351.2202175
81,3.574965641,20.65384615,105.5376282,377.2933945
82,3.4326,21.88666649,138.3463905,474.8878199
83,3.144464508,22.40833362,169.8181443,533.9871275
84,3.296032331,23.30000005,193.1788222,636.7236437
85,3.156357692,23.95833317,209.0015705,659.6837146
86,3.176417126,24.625,217.5089988,690.8993087
87,3.198989646,24.72666677,220.5441531,705.5184624
88,3.178574201,24.59999965,216.8582941,689.3001788
89,3.242243338,23.88000005,198.5253026,643.6673398
90,3.35665153,22.14999998,158.5610597,532.2342235
91,3.266922815,21.14285687,145.413508,475.0547067
92,3.836390893,19.94666684,107.9199029,414.0229327
93,3.661062043,18.6615382,105.1009627,384.7811452
94,3.573175013,18.32307654,97.50795627,348.4129929
95,3.766042413,16.92307729,94.5103369,355.9299373
96,3.840042864,15.4714286,94.88032423,364.3445119
97,3.749812002,14.48333343,95.49160828,358.0755788
98,3.61298708,13.45625001,95.01855149,343.3007989
99,3.648787114,12.89166657,95.0650903,346.8722765
100,3.848968958,12.16923061,95.22428684,366.5153241
101,3.970669251,11.89230757,96.61624322,383.6311461
102,3.978989692,12.5583334,98.9248965,393.6211434
103,3.985792288,15.70769229,122.3354659,487.6037568
104,3.733214319,19.56666644,134.5819653,502.4233199
105,3.440937971,20.58571461,172.5439816,593.7131381
106,3.126137947,21.73125017,211.680612,661.7427938
107,3.597156309,22.76666667,216.5515089,778.9696264
108,3.55025665,22.97142833,221.3765355,785.9435174
109,3.54910741,23.04615388,221.7762525,787.107741
110,3.462574993,23.61428561,224.2116454,776.3496365
111,3.5836192,23.61428561,222.3562587,796.8401579
112,3.482899984,22.80000056,196.1368815,683.1251414
113,3.339587112,22.1,162.4234092,542.4271241
114,3.31359667,21.26249993,145.6460195,482.6121652
115,3.605509673,20.7846153,116.9977638,421.8365693
116,3.667503447,20.08000005,103.5832238,379.8918304
117,3.673408576,19.63529396,100.319034,368.5128
118,3.594770939,18.94615423,98.6631487,354.6714197
119,3.83516066,16.35294129,95.57637602,366.5507573
120,3.859082362,15.34615377,95.86666825,369.9573686
121,3.838339278,13.54166667,94.77603558,363.78258
122,3.829875815,12.68461536,94.94837373,363.6404802
123,3.766620661,12.41538444,95.31183519,359.0035276
124,3.869896968,12.24285718,94.59716612,366.0812864
125,3.988555546,12.07500005,94.96580957,378.7764065
126,4.045699987,12.00000007,96.67799562,391.1301656
127,4.266580612,11.93076911,125.244071,534.363925
128,4.202899925,12.29285724,128.1011564,538.3963405
129,4.147732147,12.54285724,127.8791199,530.4083364
130,4.015037981,12.80000019,136.4310355,547.7757894
131,3.914340003,13.60714299,146.465419,573.3154487
132,3.901380805,13.95384627,145.1088509,566.1248856
133,3.831359364,14.23333321,147.1455717,563.7675641
134,4.045320667,14.82499993,148.7804402,601.8645897
135,4.093212874,16.28666693,149.2097325,610.7471981
136,3.588900023,16.53333346,137.3656573,492.9916108
137,4.015532196,16.26666641,107.2352957,430.6067824
138,4.021417882,15.80666669,102.8013744,413.4072854
139,4.012406683,15.1642858,98.5251592,395.3230072
140,4.029173358,14.68666668,97.96794968,394.7298528
141,4.007209716,14.33333314,95.40828729,382.3210159
142,3.927274968,14.14166673,94.56268447,371.3736636
143,3.809576933,13.72307697,95.45382309,363.6386826
144,3.914341417,13.42307663,94.76879646,370.957425
145,3.861558068,13.35384611,95.46190003,368.6316703
146,3.91718749,13.10666688,95.46312881,373.9469739
147,3.945792327,13.06000017,96.73878714,381.711164
148,3.927388906,13.32307684,96.36822368,378.4754926
149,3.921582111,13.41538444,100.6341534,394.6450956
150,3.999299988,13.54666684,103.0236859,412.0226259
151,4.033092251,13.78000005,122.4691881,493.9295335
152,4.191286235,13.92142848,127.1930437,533.1024531
153,3.916478608,14.13846163,142.1022214,556.5403101
154,3.799764032,14.6692309,145.8407697,554.160511
155,4.036907673,15.26666665,150.1041929,605.956768
156,3.970958603,15.67999992,147.6065184,586.1393743
157,4.102449996,15.6785715,150.9076636,619.091144
158,4.033493042,15.50000008,149.1047516,601.4129781
159,3.921551991,15.48571423,149.7929626,587.4208908
160,3.520264549,15.74666665,139.1263807,489.7616657
161,3.522465385,15.83076925,126.026572,443.9242375
162,3.842709385,15.74375004,103.2471271,396.7487041
163,3.925748282,15.57142878,98.61144625,387.1237157
164,3.862886207,15.60666701,99.88174149,385.8318015
165,3.860279999,15.48461547,98.61220734,380.6707316
166,3.833860738,15.16666667,99.39385959,381.0622159
167,3.950340017,14.23846164,96.17467194,379.9226551
168,3.892882725,14.26666673,94.86373586,369.2933986
169,3.954182088,14.27142852,95.26350321,376.6892381
170,3.901280618,14.20714283,95.05733884,370.8453537
171,3.902225927,14.05000003,95.87414042,374.1225565
172,3.959833333,14.10714293,95.94682959,379.933454
173,4.151289276,14.00833337,98.85189056,410.3627932
174,4.015442298,14.31538472,103.5114849,415.6443947
175,4.095314821,14.9142858,125.6593789,514.6147168
176,3.994122551,15.24615376,128.0800769,511.5675235
177,4.164139254,14.64666678,126.4183578,526.4236463
178,3.990263271,15.11428567,137.800735,549.8612115
179,3.831365511,15.60000006,148.5425846,569.1209358
180,3.671370775,16.69999981,151.4971441,556.2021871
181,3.722729137,17.24374998,156.0765998,581.0309054
182,3.787050029,17.50769248,155.8643945,590.2662597
183,3.622899987,17.15333303,152.2132145,551.453253
184,3.71564582,16.39166665,123.5719077,459.1494422
185,3.800707136,14.51333351,100.9799066,383.7950517
186,3.924700004,13.14285728,95.32968479,374.1404143
187,3.646004387,12.48461533,94.4259826,344.2775468
188,3.755548272,11.9733333,94.07101651,353.2882435
189,3.403324003,11.21666662,91.01362427,309.7488521
190,3.67570005,10.95384612,91.79435319,337.4085086
191,3.67504229,11.33846151,91.94291892,337.8941153
192,3.409638478,11.55000019,90.1383934,307.3393345
193,3.555636628,11.52941188,90.76528931,322.7283873
194,3.358029097,11.24166671,89.03847059,298.993775
195,3.935281819,11.07692337,95.10937743,374.2822038
196,3.731255637,11.03571442,92.24443393,344.1875641
197,3.418945859,10.97857135,89.26136239,305.1797653
198,3.754939267,11.38750017,91.43367468,343.3278953
199,3.893249989,11.61333345,133.2193537,518.6562472
200,3.59895005,12.53076927,141.4339558,509.0137423
201,3.773979157,12.86428574,145.2875029,548.3120078
202,3.713949965,12.9538462,145.4977411,540.3713305
203,3.789299925,12.95833317,145.319313,550.6584621
204,3.824885218,12.61249995,147.5628594,564.4109998
205,3.96969642,12.54285703,145.7304949,578.5058239
206,4.109643284,13.03571408,145.685998,598.7174834
207,3.849939295,12.56923067,145.2342916,559.1432063
208,3.557924042,12.64666665,128.1917908,456.0966543
209,4.064051796,11.65384615,98.19798166,399.0816837
210,3.976665387,11.93846167,95.19609598,378.5630198
211,3.873096163,11.79230756,93.72985341,363.0247356
212,3.617503863,11.66666659,92.91264637,336.1118572
213,3.530960064,11.12142856,89.70807159,316.7556182
214,3.342167829,10.42000001,86.07880729,287.6898204
215,3.434469278,9.469230799,86.50975976,297.1151121
216,3.490056038,9.084615267,88.01371155,307.1727854
217,3.516799984,10.00714282,89.19615463,313.6850352
218,3.68841539,9.535293972,89.19487293,328.987742
219,3.322092322,10.27142872,87.4960738,290.670035
220,3.619533309,10.2399999,88.15398181,319.0762735
221,3.494576922,9.171428714,88.00771948,307.5497454
222,3.662244846,8.392307575,88.79432099,325.1865444
223,3.60951602,11.53571408,92.66537933,334.4771712
224,3.446042836,13.03529414,93.19378199,321.1497648
225,3.806811571,14.15333354,96.47652993,367.2679705
226,3.972388947,15.37142856,104.7157861,415.9718314
227,3.694196732,17.26153858,97.62077356,360.6303426
228,3.729903229,17.40666656,97.33569902,363.0527381
229,3.614139978,17.14285701,96.96066233,350.429406
230,3.851819258,16.91666651,97.46001933,375.3983794
231,3.727172408,17.30000019,97.90630446,364.9136765
232,3.648521406,16.9,95.61773545,348.8633546
233,3.822443991,16.45833349,94.80189362,362.3749286
234,3.825629011,15.43076933,94.84382949,362.8373057
235,3.695750007,14.44285706,95.46705736,352.8223779
236,3.485303315,13.41999989,93.57782415,326.1471007
237,3.190888882,12.11538462,87.81597816,280.2110283
238,3.867979975,11.17692294,94.7068808,366.3243184
239,3.746220837,10.72307704,90.37003644,338.5461136
240,3.939776833,9.20769266,90.0848732,354.9142965
241,3.569357055,8.85333341,88.15272767,314.6485604
242,3.653040753,8.521428449,92.30866637,337.2073202
243,3.643946088,7.491666714,88.63473159,322.9801834
244,3.746440737,7.280000051,89.07724479,333.7226187
245,3.537140723,7.118750006,86.6266115,306.4105152
246,3.926407031,7.80000002,90.7599253,356.3604088
247,4.02635651,11.07857152,92.80941706,373.6838006
248,3.802635746,14.1916666,96.24243873,365.9749378
249,3.758744505,16.25333328,97.51232345,366.5239099
250,3.650774986,17.76153829,99.68679619,363.9340619
251,3.738295271,18.93076911,101.0203948,377.6440643
252,3.805695992,19.74285712,108.3598886,412.3847937
253,3.645653871,20.45833349,117.6867347,429.0451
254,3.613296415,20.30666644,121.5571245,439.2219224
255,3.622979975,20.0666666,120.1562943,435.3238479
256,3.575207401,19.94615423,113.4522852,405.6154497
257,3.591113789,19.21999995,109.7303212,394.0540694
258,3.597951871,17.94166644,96.85449219,348.4778014
259,3.481149922,16.98461547,92.43494129,321.7798887
260,3.605314864,14.43333352,94.8864667,342.0955888
261,3.955304096,12.68461528,97.58723386,385.9871858
262,3.923255997,12.02000008,94.7240863,371.6268396
263,3.780433367,12.23076908,95.1062657,359.5429002
264,3.817851835,12.39166665,95.36300009,364.0818049
265,3.795903357,12.41333319,94.59398626,359.06963
266,3.618555975,12.40714278,93.86680786,339.6622984
267,3.821664028,12.29166675,95.34828278,364.3891024
268,3.886048176,12.58125025,94.71828178,368.0798061
269,3.942317351,12.42307685,95.56793412,376.7591249
270,4.003363991,12.86923064,98.38420715,393.8677922
271,4.101162493,13.63846155,122.4474376,502.1768385
272,4.081534821,14.62499992,139.0437476,567.5118975
273,4.024075966,15.7357145,150.3137793,604.8740666
274,3.927392054,17.46428599,154.9507849,608.5524814
275,3.630072702,19.87692275,183.1849712,664.9747634
276,3.294251986,21.05384621,217.4726538,716.4097216
277,3.412009142,21.75,223.591955,762.8977945
278,3.419416686,21.82142871,226.1745345,773.3849771
279,3.417441656,21.6846158,226.8550409,775.2638666
280,3.369775963,21.51428577,187.2647382,631.0402133
281,3.374392052,20.70769237,148.5442761,501.2466247
282,3.789396295,18.95333316,118.6224874,449.5076142
283,3.697462479,18.09285695,104.1545865,385.1076755
284,3.839381509,16.99285739,99.84074148,383.3266967
285,3.877910489,15.80000012,98.38518524,381.5289418
286,3.970076882,14.16428552,97.40521827,386.7062052
287,3.947154154,13.13333308,99.36746788,392.2187137
288,3.981037458,12.1846155,95.21975835,379.0734247
289,3.98170771,11.52499998,94.08038125,374.6005794
290,4.09214586,10.86153837,92.92985026,380.282502
291,4.275811544,10.03333346,91.98299995,393.301973
292,4.290077669,9.733333397,91.36665457,391.9700444
293,4.337873874,9.224999905,92.5855965,401.6246401
294,4.246395671,10.30714301,95.46675143,405.3896
295,4.211852177,11.93076926,117.5120641,494.9434429
296,4.031627979,14.93571438,133.1377072,536.7617055
297,3.893891303,17.79230763,154.1663447,600.3069888
298,3.472137521,20.70833317,194.3022652,674.6441852
299,3.547396447,22.20625019,219.5251786,778.7428387
300,3.642183344,23.66666641,225.3458665,820.7509616
301,3.536388892,24.54375005,228.9856245,809.7822189
302,3.377358337,24.69230755,222.9893443,753.114921
303,3.567921732,24.16153849,227.8838375,813.0716961
304,3.512417441,24.04666672,226.1819876,794.445558
305,3.377922199,21.52142865,174.8498682,590.6292514
306,3.45145184,17.17500003,98.39217094,339.5958395
307,3.698992289,15.35000004,89.04685798,329.383641
308,3.81455596,14.47142867,95.30177582,363.5339569
309,4.072955961,14.24285718,94.42546295,384.5907522
310,3.769143972,14.03571435,93.42315979,352.1253396
311,3.581045508,14.01538467,93.79212258,335.8738593
312,3.639499988,13.52142852,91.33478437,332.4129466
313,3.563847971,13.14285742,97.02714325,345.7899876
314,3.600648031,12.86666671,95.18950378,342.7438994
315,3.513499985,12.7307693,94.20653503,330.9946594
316,3.765322217,12.75000014,95.46964801,359.4739867
317,3.816495972,12.85999997,97.05751709,370.419623
318,4.030429681,13.11666663,97.48377821,392.9015131
319,4.097614297,13.55624992,136.7732555,560.4440471
320,3.740385745,14.14375007,147.0352031,549.9683778
321,3.982030814,14.89285728,147.3171146,586.6212897
322,3.975527566,15.96250021,152.1305553,604.799216
323,3.90109655,16.75625026,153.5443042,598.9911551
324,3.776969005,18.71249986,173.8894064,656.7748983
325,3.378166656,19.86666648,200.1346486,676.0881967
326,3.452986381,20.38000018,211.8368412,731.4697278
327,3.243203945,20.84285722,221.0085114,716.7756759
328,3.264664001,21.00833321,189.883833,619.9069141
329,3.640682594,20.66428566,142.4741307,518.7030877
330,3.944979221,19.01249993,116.298528,458.7952765
331,4.078476028,15.88000018,107.2571515,437.4457212
332,3.778151857,14.61875004,104.6916846,395.5410825
333,3.308115363,14.15384645,78.50271108,259.6960246
334,3.658489227,14.17058833,89.83344814,328.6547023
