energy_in,avg_temp,temp_sp,temp_out,bld_hrs
68.02,19.3,22.5,2.02,0
23.99,19.21,22.5,1.94,0
10.98,18.98,22.5,1.81,0
14.08,18.8,22.5,1.54,0
9.03,18.63,22.5,1.61,0
9.01,18.45,22.5,1.89,0
6.93,18.3,22.5,1.98,0
8,18.19,22.5,1.89,0
6.05,18.03,22.5,1.2,0
11.01,17.95,22.5,0.83,0
8,17.81,22.5,0.3,0
7.9,17.69,22.5,0,0
10,17.59,22.5,-0.17,0
9,17.52,22.5,-0.3,0
8.06,17.57,22.5,-0.46,0
10.98,17.54,22.5,-0.37,0
9,17.53,22.5,0.06,0
10,17.46,22.5,-0.13,0
8.03,17.44,22.5,-0.5,0
9.99,17.38,22.5,-0.61,0
8.03,17.29,22.5,-0.43,0
10,17.26,22.5,-0.13,0
8.91,17.21,22.5,0.09,0
9,17.15,22.5,0.02,0
11.01,17.08,22.5,0.13,0
7.03,17.03,22.5,0.59,0
12.95,17.02,22.5,0.68,0
8.03,16.96,22.5,0.7,0
9,16.91,22.5,0.87,0
6.06,16.9,22.5,0.89,0
9.91,16.87,22.5,1,0
7,16.84,22.5,1.05,0
10,16.8,22.5,0.87,0
11,17.01,22.5,0.65,0
20.01,17.31,22.5,0.41,0
30.98,17.07,22.5,0.37,0
44.05,16.63,22.5,0.48,0
39.02,16.55,22.5,0.46,0
47.91,16.6,22.5,0.44,0
36.03,16.57,22.5,0.33,0
51.08,16.5,22.5,0.31,0
57.95,16.49,22.5,0.54,0
92.98,16.56,22.5,0.48,0
84.02,16.75,22.5,0.7,0
69.03,17.01,22.5,0.81,0
83.98,17.17,22.5,1.09,0
76.92,17.32,22.5,1.72,0
65.08,17.53,22.5,2.55,1
74.97,17.9,22.5,3.61,1
57.04,18.16,22.5,4.59,1
43.94,18.36,22.5,5.53,1
50.99,18.61,22.5,6.57,1
41.98,18.78,22.5,6.97,1
39.08,18.92,22.5,7.27,1
36.91,19.11,22.5,7.97,1
35.06,19.32,22.5,9.53,1
37.05,19.48,22.5,10.08,1
30.9,19.57,22.5,9.8,1
34,19.55,22.5,9.95,1
28,19.59,22.5,10.06,1
31.05,19.58,22.5,9.9,1
26.97,19.58,22.5,9.77,1
25.06,19.67,22.5,10.23,1
31.93,19.72,22.5,10.69,1
27.02,19.76,22.5,10.71,1
31.08,19.79,22.5,10.45,1
34,19.82,22.5,10.53,1
26.89,19.87,22.5,10.99,1
27.08,19.9,22.5,11.1,1
26.04,19.93,22.5,11.04,1
23.92,19.94,22.5,11.19,1
25.04,20,22.5,11.25,1
20.04,20.02,22.5,11.4,1
24.94,20.06,22.5,11.38,1
26.04,20.11,22.5,11.21,1
27.92,20.06,22.5,10.95,1
26.04,20,22.5,10.67,1
23.97,19.94,22.5,10.55,1
31.07,19.9,22.5,10.34,1
28.89,19.9,22.5,10.14,1
27.03,19.84,22.5,9.58,1
37.05,19.8,22.5,9.18,1
38.03,19.8,22.5,8.94,1
32.92,19.74,22.5,8.71,0
35.98,19.71,22.5,8.66,0
43.08,19.58,22.5,8.71,0
31.93,19.48,22.5,8.64,0
33.07,19.44,22.5,8.47,0
35.93,19.49,22.5,8.34,0
37.07,19.42,22.5,8.07,0
34,19.48,22.5,7.75,0
38.01,19.66,22.5,7.55,0
31,19.8,22.5,7.53,0
32.01,19.92,22.5,7.21,0
34.98,19.9,22.5,6.86,0
38.98,19.82,22.5,6.62,0
34,19.69,22.5,6.49,0
26.02,19.62,22.5,6.55,0
10.01,19.41,22.5,6.53,0
13.95,19.25,22.5,6.25,0
14.05,19.14,22.5,6.05,0
8.91,19.04,22.5,6.12,0
8.03,18.94,22.5,6.4,0
7.03,18.82,22.5,6.72,0
8.03,18.71,22.5,6.83,0
6.9,18.65,22.5,6.75,0
7.05,18.61,22.5,6.6,0
7.03,18.54,22.5,6.7,0
8.03,18.51,22.5,6.83,0
5.93,18.48,22.5,6.94,0
7.03,18.56,22.5,7.07,0
7.03,18.52,22.5,7.18,0
5.93,18.52,22.5,7.29,0
8.03,18.53,22.5,7.36,0
6.05,18.52,22.5,7.33,0
6.91,18.51,22.5,7.2,0
6.05,18.47,22.5,7.18,0
7.03,18.47,22.5,7.29,0
5.93,18.43,22.5,7.33,0
7.03,18.37,22.5,7.33,0
7.06,18.38,22.5,7.27,0
6.9,18.35,22.5,7.27,0
6.05,18.33,22.5,7.31,0
8.03,18.32,22.5,7.34,0
5.94,18.28,22.5,7.33,0
7.03,18.26,22.5,7.29,0
6.05,18.24,22.5,7.27,0
6.9,18.22,22.5,7.31,0
6.05,18.22,22.5,7.46,0
7.03,18.39,22.5,7.55,0
12.98,18.86,22.5,7.64,0
23.95,18.84,22.5,7.58,0
30.04,18.48,22.5,7.29,0
32.05,18.32,22.5,7.14,0
35,18.33,22.5,7.05,0
28.97,18.3,22.5,6.99,0
32.93,18.31,22.5,7.01,0
63.03,18.2,22.5,7.03,0
53.02,18.29,22.5,6.92,0
52.02,18.47,22.5,6.97,0
